word,fields,sum,brillouin
emerg,"{'6': 37, '12': 20, '13': 71, '7': 26, '3': 19, '4': 28, '2': 3, '34': 2, '10': 2, '1': 1, '19': 1}",210,0.7619761525163636
enabl,"{'6': 3, '3': 1, '11': 1, '13': 2, '4': 1}",8,0.44079240967373046
ensur,{},0,
famili,"{'12': 5, '13': 22, '4': 7, '6': 13, '2': 2, '7': 6, '3': 2, '25': 1}",58,0.6600882829015293
generat,"{'20': 1, '12': 1, '7': 13, '6': 24, '13': 21, '4': 5, '10': 1, '3': 1, '2': 5}",72,0.6435181040357071
guardian,"{'13': 6, '6': 3, '7': 2, '4': 1}",12,0.39531860180031253
high,"{'13': 8, '6': 9, '7': 3, '4': 3, '2': 2, '3': 1, '9': 1, '15': 1}",28,0.6236258846271989
histori,"{'6': 33, '13': 30, '7': 19, '4': 8, '12': 1, '3': 1}",92,0.5548022185124211
identif,"{'6': 67, '7': 21, '13': 48, '12': 7, '33': 1, '9': 2, '2': 6, '3': 9, '4': 13, '1': 2, '10': 3, '15': 1, '34': 1}",181,0.7342675728390436
immedi,"{'4': 1, '6': 2}",3,0.1590404182398875
increas,{},0,
involv,{},0,
mail,"{'7': 3, '6': 2, '4': 1, '13': 1}",7,0.3747498986282715
medic,"{'6': 35, '7': 20, '13': 42, '3': 2, '4': 6, '32': 1, '34': 1, '12': 3, '25': 1}",111,0.6014566792853714
messag,"{'13': 34, '6': 85, '3': 31, '4': 110, '7': 37, '12': 7, '1': 2, '9': 1, '28': 1, '10': 2, '2': 5, '25': 1, '5': 1}",317,0.7200500111364081
network,"{'6': 46, '7': 19, '4': 73, '2': 3, '12': 6, '13': 30, '3': 16, '33': 2, '25': 1, '1': 1, '10': 3, '9': 1, '14': 1}",202,0.7354975660909854
notif,"{'10': 3, '7': 17, '3': 27, '12': 15, '13': 27, '6': 47, '4': 29, '9': 3, '2': 8, '28': 1}",177,0.809502049621741
notifi,"{'13': 5, '6': 6, '7': 4, '11': 1, '26': 1, '3': 2, '4': 1, '12': 2}",22,0.642362800768881
patient,"{'13': 168, '12': 20, '6': 154, '7': 111, '3': 6, '4': 33, '2': 5, '33': 1, '11': 1, '9': 1, '25': 1, '14': 1}",502,0.6475836909193656
person,"{'3': 4, '6': 19, '4': 8, '13': 19, '7': 8, '2': 1, '10': 2, '12': 4}",65,0.6842099613167683
phone,"{'13': 2, '3': 5, '2': 2, '6': 2, '4': 2}",13,0.50084454520661
platform,"{'6': 87, '7': 56, '4': 36, '13': 137, '3': 8, '2': 6, '33': 1, '12': 7, '9': 1, '30': 1, '1': 1}",341,0.6528703872491166
privaci,"{'4': 5, '12': 1, '6': 9, '7': 1, '13': 7}",23,0.48135302665571683
provid,"{'7': 4, '13': 3, '6': 4, '4': 3}",14,0.47312024056265856
rate,"{'13': 39, '7': 1, '6': 10, '25': 1, '12': 3, '3': 2, '2': 5, '4': 8, '10': 1, '9': 1, '20': 1}",72,0.5993578438276791
receiv,"{'7': 1, '4': 1, '2': 3, '6': 2, '9': 1, '13': 2}",10,0.5179551791165188
