From,To
['WO2009132058'],EP3023437
['WO2009132058'],EP3029068
['WO2009132058'],EP2982692
['CN109741803'],CN111353169
['US2013172691'],US2016174853
['CN108498089'],CN111248883
['US2012095352'],US2017143233
['CN105326495'],CN107384229
['CN106877896'],CN112790740
['CN207545077'],CN112790740
['CN106877896'],CN112790740
['CN207545077'],CN112790740
['US2015170504'],CN111150529
['US2016135706'],CN111803103
['CN111863237'],CN112599216
['CN104835017'],CN111543742
['US2017123185'],CN111158126
['WO2009140757'],US2019017104
['WO2016094330'],CN110400601
['WO2020131475'],CN113514516
['CN205054260'],CN111449679
['CN107169270'],CN113470773
['WO2010139810'],US2013245135
['US2017327582'],WO2021037128
['CN109346193'],CN111938690
['CN111260209'],CN111938690
['CN111243699'],CN113191150
['CN112151183'],CN113191150
['CN109871538'],CN111950283
['CN104224131'],CN108937891
['CN107153774'],CN113539483
['CN102488511'],CN112568906
['RU193551'],RU2746667
['WO2009120877'],WO2012020126
['CN110298383'],CN111737521
['WO2019182510'],CN113299359
['CN110890151'],CN111524589
['CN109545300'],CN111653327
['CN111180070'],CN111916215
['WO2009099707'],US9540498
['CN103854246'],CN111370081
['CN109902112'],CN111370081
['CN111243693'],CN111370081
['CN103854246'],CN111370081
['CN109902112'],CN111370081
['CN111243693'],CN111370081
['US2015119667'],WO2021170463
['KR2019005643'],CN113326222
['CN107292117'],CN111816283
['US2014022055'],RU2717047
['EP3112976'],US6000935
['WO2009099707'],WO2016140906
['JP2018022412'],WO2020142388
['WO2013134558'],WO2017161387
['US2015119667'],WO2022017836
['US2015119667'],WO2022090069
['WO2009132058'],US2021363252
['EP2733219'],CN112266957
['WO2014146082'],WO2018147790
['WO2009140757'],JP2012052929
['WO2009140757'],JP2012052929
['WO2019200410'],WO2021111410
['CN106126917'],WO2019223508
['US2018188772'],CN113009969
['US8612261'],US2017278209
['US8781849'],US2017278209
['US2011054947'],US2017278209
['US2011202370'],US2017278209
['US2011258001'],US2017278209
['US2013154837'],US2017278209
['US2011295622'],US2017278209
['US2013066655'],US2017278209
['WO2017190211'],WO2018165762
['WO2010045463'],WO2020208554
['US8429179'],US2015006512
['US2018307859'],US10939291
['US2016349134'],KR2013796
['WO2011060272'],WO2020002765
['US2019181590'],CN111930657
['CN111625856'],CN111930881
['CN104462853'],CN105376185
['CN104240170'],CN111613282
['CN104240171'],CN111613282
['CN108198594'],CN111613282
['CN109887566'],CN111613282
['CN110462743'],CN111613282
['CN104240170'],CN111613282
['CN104240171'],CN111613282
['CN108198594'],CN111613282
['CN109887566'],CN111613282
['CN110462743'],CN111613282
['CN112542243'],CN113284629
['CN108305690'],CN113284629
['CN108597588'],CN113284629
['WO2018102672'],CN110951781
['CN107665740'],CN112634068
['CN113257422'],CN113851216
['WO2009094643'],US2014193045
['CN108078569'],CN111381540
['US2015119667'],EP3338552
['US2015119667'],EP3666073
['US2016029160'],CN110859595
['US2015119667'],EP3628157
['WO2014152305'],CN110827988
['WO2016040725'],CN110827988
['CN107391933'],CN110826851
['CN102462891'],CN111489798
['CN103051731'],CN111489798
['CN108015750'],CN111227943
['CN110727737'],CN111797170
['CN108447534'],CN110827941
['CN110032617'],CN110827941
['WO2014146082'],WO2019073379
['CN110321721'],CN111953704
['WO2009110702'],WO2011094608
['CN109902112'],CN111739639
['CN111260209'],CN111739639
['CN103294914'],CN105787232
['CN110727737'],CN112600678
['CN109213871'],CN111370127
['CN110277167'],CN111370127
['CN110600121'],CN111370127
['WO2012045882'],WO2020077380
['US10043591'],CN111461892
['US2012016184'],WO2014088516
['US2013011042'],WO2013098821
['WO2009140757'],WO2010077304
['CN107622512'],CN111650134
['WO2017116052'],US2020344521
['EP2844007'],CN112380262
['WO2009140757'],WO2013066408
['WO2019200410'],US2021388451
['CN108514414'],CN111513706
['CN106874672'],CN111611860
['CN109377470'],CN111275755
['WO2009120877'],WO2017165458
['CN105631244'],CN107463796
['WO2009120877'],WO2012145409
['CN108959848'],CN112908410
['WO2009120877'],WO2012145363
['WO2019200410'],WO2021202620
['US10052026'],CN112379029
['WO2010139810'],WO2015115923
['WO2009120877'],WO2015073972
['WO2015164541'],WO2019136484
['US10052026'],CN109212061
['WO2012018387'],US2016019336
['US2021118559'],US2020255909
['CN106156484'],CN109528197
['CN106156484'],CN109528197
['WO2016060278'],WO2018202666
['WO2017116052'],US2021176523
['EP2733219'],WO2015184107
['WO2009120877'],WO2012047631
['CN111161794'],CN111870617
['EP2733219'],WO2017136662
['WO2010045463'],US2014122382
['WO2010045463'],US2014122382
['CN107180157'],CN107919161
['WO2012018387'],US2007259351
['WO2010139810'],WO2018041726
['WO2017019751'],WO2019063097
['WO2014100737'],WO2020214798
['WO2010139811'],WO2013131567
['WO2009120877'],WO2017216206
['WO2016049019'],WO2018057695
['WO2016138087'],WO2018057695
['EP3364183'],EP3649941
['WO2016138087'],EP3649941
['EP3364183'],EP3649941
['WO2016138087'],EP3649941
['WO2018131932'],RU2732848
['JP2017146891'],CN110827969
['WO2012108935'],US2015130628
['CN109700443'],CN113170957
['CN206431606'],CN112289277
['CN108899064'],CN110265155
['EP2733219'],EP3184646
['EP2733219'],EP3184646
['EP2733219'],EP3184646
['EP2733219'],AU2020233625
['US2011077973'],US2017329919
['WO2009120877'],WO2011045349
['CN103136716'],CN107480419
['WO2016094330'],US2018067118
['WO2010139810'],DE102011108254
['WO2010139810'],EP3184645
['WO2010139811'],EP2657348
['WO2009132058'],US2012213768
['WO2015006489'],WO2019211343
['WO2012018387'],WO2016036403
['WO2009120877'],WO2016030020
['WO2010139810'],WO2012168448
['WO2010139810'],WO2012168448
['EP3404666'],CN111833997
['CN112532630'],CN113096828
['US2010063382'],US2013164829
['WO2010139810'],WO2011076144
['US2020107787'],CN111968740
['WO2015006489'],EP3376230
['US2013017807'],WO2016025698
['CN203012472'],CN106378436
['WO2012122198'],WO2016097886
['US2013262357'],WO2018148365
['US2016126614'],HK1242515
['CN107463796'],CN110379459
['CN106845544'],CN111161879
['CN110459324'],CN111899883
['CN111161884'],CN111899883
['CN109378066'],CN111899883
['CN111710420'],CN111899883
['US2019104997'],US2021067618
['US2017160819'],US2021067618
['WO2018169365'],CN111208969
['WO2019146995'],CN111681551
['WO2011001302'],US2016183833
['CN103324831'],CN110428894
['CN105808946'],CN110428894
['WO2012147454'],CN109028233
['WO2012045882'],US2018265577
['WO2012045882'],US2018265577
['CN109273064'],CN110929077
['CN110674641'],CN111951975
['CN111261282'],CN111951975
['CN109493979'],CN110893099
['WO2016123651'],WO2018048479
['WO2011145411'],JP2013127913
['US2016135706'],CN111528830
['WO2014025430'],US2019241926
['WO2016138087'],WO2018067521
['WO2009099707'],WO2016036607
['US2016349134'],KR1934026
['CN108461111'],CN111814447
['CN111274806'],CN111814447
['US8429179'],WO2012159657
['WO2019093782'],US2022137667
['WO2017135651'],WO2021201575
['WO2019112314'],WO2021201575
['WO2019194520'],US2021359411
['US2020084528'],US2022085489
['KR1760233'],US2022085489
['US2020084528'],US2022085489
['KR1760233'],US2022085489
['US2018364869'],US2021091148
['WO2018190619'],WO2020167064
['US2020028949'],US2021195739
['US2020028949'],US2021195739
['WO2019156487'],WO2022080712
['WO2018021694'],EP3557372
['WO2019209041'],US2022113766
['WO2017142286'],US2021161039
['WO2019172709'],WO2022098159
['EP3553638'],US2021151425
['WO2019194520'],US2022115769
['US2016234361'],US2021051221
['WO2019182232'],US11058018
['WO2019194520'],US11058018
['US2019317550'],US11058018
['CN108648829'],CN111883262
['WO2019103485'],US2021249760
['EP2472304'],US2014375680
['EP2469875'],US2014375680
['CN108182262'],CN111274373
['CN110600121'],CN111274373
['US8429179'],CN111274373
['CN108182262'],CN111274373
['CN110600121'],CN111274373
['US8429179'],CN111274373
['CN107391944'],CN111400401
['CN107579979'],CN111400401
['CN109215751'],CN111400401
['CN110414253'],CN111400401
['CN107391944'],CN111400401
['CN107579979'],CN111400401
['CN109215751'],CN111400401
['CN110414253'],CN111400401
['CN205054167'],RU2644546
['US2012116241'],US2014023557
['EP3435655'],CN111405087
['CN101950389'],CN111603248
['CN110705293'],CN111984983
['WO2019077062'],WO2022012591
['EP3116204'],CN110747447
['CN108536754'],CN111222340
['CN109243616'],CN111222340
['CN109871538'],CN111222340
['CN110688855'],CN111222340
['CN109871538'],CN111428036
['WO2020077352'],CN113160996
['CN104732468'],CN110853765
['JP2017146914'],CN110853765
['CN107887024'],CN110890157
['CN110444263'],CN110890157
['CN107887024'],CN110890157
['CN110444263'],CN110890157
['WO2010045463'],WO2010003020
['WO2016094330'],WO2020146735
['US9762241'],CN112115449
['CN109009017'],CN112826482
['CN111161794'],CN113355438
['CN110162779'],CN111737975
['CN102254108'],CN107799184
['CN102819655'],CN111159986
['CN102063665'],IN201401758
['WO2017087692'],WO2018234516
['US2013338724'],US2016106992
['CN108536754'],CN111222338
['CN112820411'],CN113282717
['CN110277149'],CN110956140
['CN109471895'],CN111160009
['US2011122995'],WO2018053377
['WO2009094643'],US9789655
['CN104536425'],CN106071241
['CN106983500'],CN110974168
['CN108095718'],CN110974168
['CN106983500'],CN110974168
['CN108095718'],CN110974168
['CN110491484'],CN111370106
['CN111161879'],CN111612261
['EP3447685'],CN111108510
['US2016249174'],CN111089604
['WO2018096310'],CN111901382
['CN109384194'],CN111595506
['EP2787352'],KR1789679
['EP3489795'],KR2020101224
['EP3686712'],KR2020101224
['CN103976791'],CN106971064
['CN109524084'],CN113470785
['CN106295750'],CN113057160
['WO2009099707'],WO2009126592
['TW201543411'],CN112294574
['WO2009099707'],WO2016090481
['WO2009099707'],WO2016090481
['US2015119667'],WO2022089969
['US2015119667'],WO2019166257
['US2015119667'],WO2019115511
['US2015119667'],WO2019115343
['US2015119667'],WO2018202737
['US2015119667'],EP3530118
['US2015119667'],WO2019166252
['US2015119667'],EP3533331
['US2015119667'],WO2018202428
['US2015119667'],WO2018050508
['US2015119667'],EP3533333
['US2015119667'],EP3530116
['US2015119667'],EP3536150
['WO2015134895'],US2018110444
['US2010053555'],WO2012154418
['CN108717867'],CN112101678
['CN108320813'],CN111358439
['CN107908768'],CN111462845
['US2017119308'],CN111524609
['US2012016184'],US2018108431
['KR2018058466'],WO2021134027
['US2015119667'],WO2019224092
['EP3073567'],CN110225157
['US9165360'],US2020160974
['WO2014025430'],US2016045144
['US2010121227'],WO2012149338
['CN205234527'],RU2693819
['US2012226768'],RU2745261
['RU2735925'],RU2766759
['WO2020138667'],RU2771118
['JP2012144481'],CN111714424
['WO2015127466'],WO2017112898
['US2016054569'],US2021055557
['CN109602410'],CN111281360
['WO2018086953'],CN110840425
['CN107887029'],CN111739643
['US2016085918'],WO2020129366
['CN102462891'],CN103610061
['CN109377470'],CN111275093
['WO2009132058'],WO2018237006
['US2015119667'],EP3909950
['CN106168759'],CN112811767
['WO2012018387'],CN107177670
['CN106852687'],CN110411623
['WO2009140757'],CN106872538
['CN105160175'],CN111491138
['WO2012045882'],US2018079804
['WO2012045882'],WO2015200806
['WO2012045882'],WO2015200806
['WO2012045882'],US2020109192
['CN111968741'],CN113159132
['WO2012018387'],WO2020118158
['WO2010139810'],US2012107825
['CN109871538'],CN111046671
['WO2016094330'],CN111257558
['WO2010111489'],WO2014001451
['CN106980608'],CN110909547
['CN107506608'],CN110853763
['CN110428899'],CN110853763
['CN107506608'],CN110853763
['CN110428899'],CN110853763
['CN105787253'],CN110827978
['WO2019200410'],WO2020150258
['KR2019035358'],CN111556255
['CN108257674'],CN110838103
['US2010070249'],US2016364859
['US2011064285'],WO2010058398
['CN108257674'],CN111932562
['US2015244916'],CN111345032
['US2015182114'],WO2022086945
['US2014146153'],US2021227200
['US2014146153'],US2021227200
['US2014146153'],US2021227200
['WO2015061793'],US2021227200
['WO2015126466'],US2021227200
['US2015119667'],WO2019072906
['CN103330548'],CN104820091
['WO2009140757'],CN102636642
['US2013262357'],US2017362280
['WO2012045882'],US2019177401
['WO2012045882'],US2020190178
['WO2009132058'],WO2021226551
['CN104536425'],CN108812543
['WO2009120877'],WO2016008971
['EP2733219'],WO2017084770
['EP2733219'],WO2017084770
['EP2733219'],WO2017085287
['EP2733219'],WO2017085287
['WO2015006489'],EP3067699
['WO2012045882'],WO2016054247
['US9477317'],US11262822
['US9477317'],US11262820
['US9477317'],US11320876
['WO2010140588'],WO2012102069
['CN110322953'],CN113362939
['CN112242195'],CN113362939
['WO2019038580'],WO2020239244
['WO2009120877'],US2010021454
['US2014039900'],US11079816
['CN109783525'],CN111161859
['CN205644550'],CN111161859
['CN109783525'],CN111161859
['CN205644550'],CN111161859
['US2018212449'],CN111207864
['WO2020033752'],CN112880794
['CN107693050'],CN112206006
['CN108665970'],CN111584024
['US2016135706'],CN111798973
['CN109659039'],CN111686011
['WO2013156999'],CN107898434
['CN104835017'],CN112542253
['CN104239746'],CN108272642
['CN103942402'],CN111462867
['CN107592318'],CN111462867
['CN108881175'],CN111462867
['CN103942402'],CN111462867
['CN107592318'],CN111462867
['CN108881175'],CN111462867
['CN108888246'],CN111939383
['US2017136264'],CN111714354
['US2017032105'],CN110928433
['CN109949885'],CN111755092
['CN110010213'],CN111755092
['CN108665970'],CN111554397
['CN110729042'],CN112802588
['WO2015082555'],RU2745878
['RU2677061'],RU2729430
['RU2014127632'],RU2696763
['WO2016094330'],RU2718272
['WO2011122977'],RU2731649
['RU2456910'],RU2531135
['US2017140114'],RU2752792
['WO2017027432'],RU2752792
['US2020176098'],RU2752792
['US2017140114'],RU2752792
['WO2017027432'],RU2752792
['US2020176098'],RU2752792
['US2017160819'],RU2723289
['RU2408254'],RU2750057
['RU2476931'],RU2750057
['RU2693160'],RU2750057
['WO2018171853'],RU2750057
['RU2408254'],RU2750057
['RU2476931'],RU2750057
['RU2693160'],RU2750057
['WO2018171853'],RU2750057
['US9615066'],RU2695105
['US2012226768'],RU2748052
['RU2476931'],RU2720733
['RU2729713'],RU2752453
['WO2014197822'],RU2598462
['EP3384843'],RU2760261
['WO2015082555'],RU2676849
['KR2016099889'],RU2710951
['RU2630126'],RU2709225
['US2018001184'],RU2709225
['WO2013070545'],RU2677061
['RU2735722'],RU2750407
['WO2017190049'],RU2746037
['RU2735722'],RU2748452
['US2018140228'],RU2763641
['US2018140228'],RU2762612
['RU189998'],RU2729713
['RU2711976'],RU2753234
['RU2735722'],RU2757799
['RU2711976'],RU2761724
['RU2014127632'],RU2755455
['RU2735722'],RU2769214
['WO2015082555'],RU2754518
['RU2739126'],RU2752137
['WO2013134558'],CN108239671
['WO2012045882'],WO2014150877
['WO2012045882'],WO2015004163
['WO2009140757'],CN110522410
['CN106845544'],CN107423263
['WO2010139810'],WO2015194610
['WO2010139810'],WO2015194610
['WO2014113522'],CN111321214
['WO2012045882'],WO2021157634
['CN201780584'],WO2019149707
['WO2009094643'],US9307901
['WO2013134558'],CN104971363
['WO2013134558'],CN104651364
['WO2013134558'],CN107022625
['CN202135173'],CN106725572
['CN106951719'],CN111833330
['US8773271'],CN111127718
['CN110298831'],CN111563903
['EP2851001'],RU2629796
['CN105868526'],CN111949691
['CN106373064'],CN111599458
['US2013011042'],WO2013173356
['US2013301901'],WO2013173356
['CN102184170'],CN110827931
['CN106095913'],CN110827931
['CN109299239'],CN110827931
['CN110019641'],CN110827931
['CN102184170'],CN110827931
['CN106095913'],CN110827931
['CN109299239'],CN110827931
['CN110019641'],CN110827931
['CN102063579'],US2015332020
['CN102231172'],US2015332020
['CN109887556'],CN111739605
['WO2017104933'],WO2020189947
['WO2009094643'],US2014084489
['WO2009094643'],US2014085599
['WO2009099707'],WO2011042327
['EP2733219'],CN109055541
['WO2016094330'],WO2020146723
['CN108498089'],CN111493850
['CN105434044'],CN111402523
['EP2438897'],RU2696105
['CN105912870'],CN110428900
['CN105956372'],CN110428900
['CN108184258'],CN111723154
['CN111210884'],CN111986767
['CN108470581'],CN110840408
['WO2014027692'],WO2014084366
